Project,Package,Class,Method,Smell,Description,File
tika,org.apache.tika.parser.pdf,PDFParserTest,testAnnotations,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.tika.parser.pdf.PDFParserConfig.setExtractAnnotationText; org.apache.tika.parser.pdf.PDFParser.getPDFParserConfig,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testPopupAnnotation,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testEmbeddedPDFs,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testDisableAutoSpace,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testDisableAutoSpace,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.tika.parser.pdf.PDFParserConfig.setEnableAutoSpace; org.apache.tika.parser.pdf.PDFParser.getPDFParserConfig,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testDuplicateOverlappingText,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testDuplicateOverlappingText,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.tika.parser.pdf.PDFParserConfig.setSuppressDuplicateOverlappingText; org.apache.tika.parser.pdf.PDFParser.getPDFParserConfig,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testIgnoreContentStreamSpaceGlyphs,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testIgnoreContentStreamSpaceGlyphs,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.tika.parser.pdf.PDFParserConfig.setIgnoreContentStreamSpaceGlyphs; org.apache.tika.parser.pdf.PDFParserConfig.setSortByPosition; org.apache.tika.parser.pdf.PDFParser.getPDFParserConfig,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testSortByPosition,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testSortByPosition,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.tika.parser.pdf.PDFParserConfig.setEnableAutoSpace; org.apache.tika.parser.pdf.PDFParserConfig.setSortByPosition; org.apache.tika.parser.pdf.PDFParser.getPDFParserConfig; org.apache.tika.parser.pdf.PDFParser.setSortByPosition,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testBookmarks,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testSignatureInAcroForm,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testVersions,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testVersions,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testMultipleAuthors,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testMultipleTitles,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testInlineSelector,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testInlineSelector,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.tika.parser.pdf.PDFParserConfig.setExtractInlineImages; org.apache.tika.parser.pdf.PDFParserConfig.setExtractUniqueInlineImagesOnly; org.apache.tika.metadata.Metadata.getInt,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testInlineConfig,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testInlineConfig,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.tika.parser.pdf.PDFParserConfig.setExtractInlineImages; org.apache.tika.parser.pdf.PDFParserConfig.setExtractUniqueInlineImagesOnly,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testEmbeddedFileNameExtraction,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testEmbeddedFileMarkup,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testEmbeddedFileMarkup,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.tika.parser.pdf.PDFParserConfig.setExtractInlineImages; org.apache.tika.parser.pdf.PDFParserConfig.setExtractUniqueInlineImagesOnly,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testLegacyAccessChecking,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testAccessCheckingOwnerPassword,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testXFAExtractionBasic,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testXFAOnly,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testXMPMM,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testSkipBadPage,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testSkipBadPage,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.tika.parser.pdf.PDFParserConfig.setCatchIntermediateIOExceptions; org.apache.tika.metadata.Metadata.getValues,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testInitializationViaConfig,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testInitializationViaConfig,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.tika.parser.pdf.PDFParserConfig.setOcrDPI; org.apache.tika.parser.pdf.PDFParserConfig.setSortByPosition,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testInitializationOfNonPrimitivesViaConfig,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testInitializationOfNonPrimitivesViaConfig,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.tika.parser.pdf.PDFParserConfig.getOcrImageType; org.apache.tika.mime.MediaType.application; org.apache.tika.parser.pdf.PDFParserConfig.getOcrStrategy; org.apache.tika.parser.CompositeParser.getParsers; org.apache.tika.parser.pdf.PDFParser.getPDFParserConfig,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testDiffTitles,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testMaxLength,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testConfiguringMoreParams,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testConfiguringMoreParams,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.tika.parser.pdf.PDFParserConfig.isExtractUniqueInlineImagesOnly; org.apache.tika.parser.pdf.PDFParserConfig.getOcrDPI; org.apache.tika.mime.MediaType.application; org.apache.tika.parser.pdf.PDFParserConfig.getOcrImageQuality; org.apache.tika.parser.pdf.PDFParserConfig.getMaxMainMemoryBytes; org.apache.tika.parser.pdf.PDFParserConfig.isCatchIntermediateIOExceptions; org.apache.tika.parser.CompositeParser.getParsers; org.apache.tika.parser.pdf.PDFParser.getPDFParserConfig; org.apache.tika.parser.pdf.PDFParserConfig.isExtractInlineImages,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testLanguageMetadata,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testAngles,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testUnmappedUnicodeStats,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testUnmappedUnicodeStats,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.tika.metadata.Metadata.getIntValues; org.apache.tika.parser.pdf.PDFParserConfig.setDetectAngles; org.apache.tika.metadata.Metadata.getInt,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
